T/R,Yordamchi so'z,Turkumi,Xalqaro tegi,O'zbekcha tegi,sof/vazifadosh,shakli,ma'no turi ,uslubiy xoslanishi,sof  turkumi, Yordamchi so'z ishtirok etgan gaplar va olingan manbaa.
239,Orqali,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,vosita,so'zlashuv,,"Men hali yosh bolaman, Ko'p joyni ko'rganim yo'q. Lekin kitob orqali Bildim talay yo'l-yo'riq. Q.Muhammadiy."
240,Ostiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,,"Tohir Malik ko'p asarlarida jinoyatchi to'dalarning turish-turmushi,  bu olam ruhiyatini  qalam ostiga oldi. Gazetadan"
241,Ostida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,,Asarni o'qishga kirishishingiz bilan ko'z o'ngingizda rangin manzaralar paydo bo'la boshlaydi. Qulog'ingiz ostida ajib ohanglar jaranglay boshlaydi. O'Hoshimov. 
242,Ostidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,,Majburiyat ostidan iljayib qaradi.
243,Osha,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,publisistik,fe'l,Alimardon unga yelkasi osha qaradi. O'.Hoshimov Qalbingga quloq sol. 
244,Oqibatida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,publisistik,ot,"Lekin kuch-quvvat uni tark eta borishi, shamol uni orqaga suraverishi oqibatida u deyarli harakatsiz bir holga tushdi. Sh.Xolmirzayev, Saylanma."
245,Paytida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,ot,"Choy paytida Maqsuda onasiga ko'nglini biroz ochishga jur'at qildi. S.Zununova, Olov"
246,Qabilida,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,holat,kitobiy,,"Sen menga tegma, men senga tegmayman qabilida ish tutish - eng xavfli maraz. F.Musajonov, Himmat."
247,Qabilidan,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,holat,kitobiy,," Yegan og'iz uyalar qabilidan O'zbek oyim ham muomalani qudalarga qildi.A.Qodiriy,O'tkan kunlar."
248,Qadar,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,chegara,badiiy,,"Biz o'zimizni ichkariga olgach, darvozabon o'zining hazmi ko'targan qadar bizga to'ng'illaydir-da, darvozani berklash harakatiga tushadi. A.Qodiriy,O'tkan kunlar."
249,Qamrovida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,publisistik,ot,Ilmdan chetlashib siyosiy ishlar qamrovida qolib ketgani unga yaxshilik keltirmadi.Gazetadan Xayol qamrovi
250,Qanday ,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,holat,kitobiy,olmosh,"Sotib olingan qul qanday bo'lsa, u ham bizga shunday edi. Oybek, Tanlangan asarlar."
251,Qancha,bog'lovchi,conj,Bog'l,vaz.ko'm,so'z shaklda,daraja-miqdor,so'zlashuv,olmosh,"O'zbek oyim nabira masalasida qancha xursand bo'lsa, Otabek shunchalik xafa edi.A.Qodiriy, O'tkan kunlar."
252,Qarab,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,yo'nalish,publisistik,fe'l,"Hamonki , siz Samarqand safarini xayol qilar ekansiz, o'zingizning vazifalaringizni bilishingiz, shunga qarab amal qilishingiz lozim. Fitrat, Najot yo'li. "
253,Qaraganda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,qiyoslash,so'zlashuv,fe'l,"Bu ikki o'rim soch qirq kokilga qaraganda juda ham o'ziga kelishib, unga yana bir qayta ulug'vorlik va oliyjanoblik bag'ishladi. A.Qodiriy,O'tkan kunlar."
254,Qaramay,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,to'siqsizlik,betaraf,fe'l,"Gavharning qarshiligiga qaramay, ikki marta suratga oldi-yu, rahmat aytib burilib ketdi. O'.Hoshimov,Qalbingga quloq sol."
255,Qaramasdan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,to'siqsizlik,betaraf,fe'l,"Yo'talining azob berishiga qaramasdan, Turg'unoyning chehrasi ochiq, ishtaha bilan non yer edi. A.Qahhor, Maston"
256,Qarata,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,yo'nalish,kitobiy,fe'l,Kanalni bo'ylab o'tgan ko'chaning kun yurish tomoniga parkka qarata solingan klub odamga liq to'ldi.A. Qahhor. Qo'shchinor chiroqlari.
257,Qaratilgan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,rasmiy,fe'l,Muammolar yechimiga qaratilgan masalalar keyingi bandlarda keltirildi. Gazetadan
258,Qarashli ,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,tegishlilik,betaraf,,"Mamajon yalqovning kundalik daftarida turli yillarga qarashli bir necha sahifalarni yalqovning o'z dastxati, o'z og'zi bilan aytmoqchi bo'laman.G.G'ulom.Tirilgan murda."
259,Qarshi ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,zidlik,kitobiy,sifat,"Hojixon ajina gapini tugatgach, o'chkorlar boshni bir yerga jamlab, bunga qarshi chora axtarishdi. A.Obidjon, Meshpolvonning janglari."
260,Qarshisiga ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin,so'zlashuv,ot, Sizdaqalar mening orzularim qarshisiga hech qachon to'siq qo'ya olmaysiz
261,Qarshimda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin,so'zlashuv,ot,"Umid qilamanki, mening qarshimda turgan  - siz yoshlar Vatanning kelajagisiz."
262,Qarshisida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin,so'zlashuv,ot,"Shuning uchun kutmagan hol qarshisida biroz dovdirab qoldi. Oybek, Tanlangan asarlar."
263,Qatori,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'xshatish,badiiy,ot," Mana endi, u odamlar qatori ertalab ishga borib, kechki payt, el-yurt qatori uyga qaytadi. T.Ashurov, Oq ot."
264,Qatorida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'xshatish,badiiy,ot,"Yusufbek hoji bekning uylanishini ham oddiy gaplar qatorida eshitib o'tkardi. A.Qodiriy,O'tkan kunlar"
265,Qachon ,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,payt,kitobiy,olmosh,"Qachon uning paranjisini ko'rsa, qachon ovozini to'satdan eshitsa, yigit qaltiraydi, rangi oqaradi. Oybek, Tanlangan asarlar. "
266,Qaysi,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,tegishlilik,badiiy,olmosh,"Sen qaysi yo'ldan boshlasang, shu yo'ldan yuraman."
267,Qaysiki,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,tegishlilik,badiiy,olmosh,"Qaysiki yurtda ta'lim to'g'ri yo'lga qo'yilsa, u yurt, albatta, rivojlanadi. Gazetadan"
268,Qachonki,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,biriktiruv,badiiy,olmosh,"Qachonki niyatlaringni to'g'rilaysan, sunda hayoting ham shunga qarab o'zgaradi. "
269, -qina,yuklama,part,Yukl,vaz.yukl,qo'shimchasimon,ayiruv-chegaralov,so'zlashuv,ot.erk.qo'shimchasi,Dushmanning ayovsiz qirg'inidan shu bir qizaloqqina omon qolibdi. Ertakdan
270,Qip-,yuklama,part,Yukl,sof yukl,qo'shimchasimon,kuchaytiruv,so'zlashuv,,"""Buqa""lar chempion bo'lolmaydi.Agar bu ish amalga oshsa, Leypsig markazida qip-yalang'och holda sayr qilaman"", - dedi sharhlovchi Sport1 xabarida. Ijtimoiy tarmoq xabari"
271,Qoshida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin,badiiy,ot,"Yomonlarning qoshida yalinish yaxshilarning ishi emas. ""Hikmatnoma""dan"
272,Qoshimga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin,badiiy,ot,"Hech kim rahm aylamas qonli yoshimga, Shakar aka kelgin mening qoshimga.""Shirin bilan Shakar"""
273,Qoshimda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin,badiiy,ot,"Uch qizim bor, bir o'glim bor qoshimda, Baxt-u davlat keldi yetmish yoshimda.Habibiy."
274,Qoshimdan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin,badiiy,ot,"Qoshimdan noz-istig'no bilan ketding, yomon bo'ldi, Qoshimga noz-istig'no bilan kelsang, yomon bo'lmas.J.Kamol"
275,Qoq,yuklama,part,Yukl,vaz.yukl,so'z shaklda,o'xshatish,badiiy,sifat," Butun jonzotga hayot beruvchi quyosh erta bilan ko'tariladi-yu, qoq tushga kelib, tik turib oladi. ""Oltin beshik""  (xuddi,ayni ma'nosida) O'TIL.T-2020. 5-tom.354-s."
276,Qop-,yuklama,part,Yukl,sof yukl,qo'shimchasimon,kuchaytiruv,so'zlashuv,,"Agar hayotimizning barcha maqsad-mazmuni oiladagi shaxsiy baxtimizdan iborat bo'lganida, shaxsiy baxtimiz birgina oiladagi muhabbatda o'z ifodasini topganda edi, unda hayot deganlari chindan ham qop-qorong'u sahroga aylanib qolgan bo'lar edi. T.Malik, Odamiylik mulki."
277,Qurg'ur,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv,so'zlashuv,," Va shabboda qurg'ur ilk sahar, Olib ketdi gulning totini. H.Olimjon."
278,Ro'parasida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin,badiiy,ot,"Deraza ro'parasidagi tuynukdan Ruzvonning boshi ko'rindi. S.Zununova,Yangi direktor."
279,Ravishda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,holat,badiiy,ot,"Bo'layotgan gaplar biron joyda yozma ravishda qayd qilinmasin.S.Ahmad, Yulduz."
280,Sabab,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,betaraf,ot,Podsho xasta bo'lgani sabab to'ylari to'xtalibdi. Ertakdan
281,Sababli,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,betaraf,sifat,"Shayxzoda o'ziga qo'yilgan ayblar biror dalil bilan isbaotlanmagani sababli o'z ishini qayta ko'rishlarini talab qilib, tegishli idoralarga arizalar yozadi. N.Karimov, Maqsud Shayxzoda."
282,Sayin ,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,yo'nalish,betaraf,,"Kun sayin ozadi yuragim, kun sayin vujudim semirar. Shavkat Rahmon, Yurak qirralari."
283,Sari,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,yo'nalish,betaraf,,Insof sari baraka.Maqol
284,Sira,yuklama,part,Yukl,sof yukl,so'z shaklda,inkor ,badiiy,,Bog' xayoli Yusufni sira tinch qo'ymasdi. U.Hamdam.Muvozanat.
285,Sifatida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'xshatish,kitobiy,ot,"Bir adib sifatida aytishim mumkinki, bunday fazilatga erishish oson emas. S.Karomatov, Oltin qum."
286,Sifatidagi,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'xshatish,kitobiy,ot,Bizning oʻqituvchi sifatidagi vazifamiz oʻquvchilarga akademik oʻsishni oldinga qoʻyilgan kichik qadamlar bilan birga ba’zan orqaga qoʻyilgan bir necha qadamlardan ham iborat jarayon ekanligini tushunishga yordam berishdir. https://sinaps.uz/maqola/12785/
287,Singari,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,o'xshatish-qiyoslash,badiiy,,"Shimirib nafas oldim. Havo xuddi qalbimdagi iliqlik singari yoqimli edi. O'.Umarbekov, Sevgim-sevgilim."
288,Suratiga ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'xshatish,badiiy,ot,Muqbil bir qalandar suratiga kirib yo'lga chiqibdi.Ertakdan
289,Suratda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,rasmiy,ot,"shoshilinch suratda, muntazam suratda"
290,So`ng,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,kitobiy,ravish,"Bu notabiiy mashqlardan so'ng doim o'zini misli qushday yengil sezadi, hozir qanot chiqarib osmonga uchib ketaman-ov, deydi ruhlanib. N.Norqobilov, Kurash."
291,So'ngra,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,kitobiy,ravish,"Ularning eng avvali, albatta, xalq-u Vataningdir! Undan so'ngra, balkim, ustoz-u shogirdlar. N.Jabborov,She'riyat aslida hikmatdir."
292, -sa,bog'lovchi,conj,Bog'l,vaz.bog'l,qo'shimchasimon,shart,kitobiy,sint.shakl yas.,"Bosh omon bo'lsa, do'ppi topiladi. Maqol"
293,Tagida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin,so'zlashuv,ot,"Bitmas-tuganmas bilimning tagida mashaqqatli mehnat yotadi. ""Hikmatnoma""dan"
294,Tagidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin,so'zlashuv,ot,Zolimlikka qurilgan saltanat tez fursatda tagidan zil ketadi
295,Tan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,tomon,so'zlashuv,ot,"Kim zo'r bo'lsa jazosini beraman, Kambag'al Nazarning tani bo'laman.Dostondan"
296,Tanho,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ayiruv-chegaralov,badiiy,sifat,"Qani endi, butun borliqqa tanho o'zing hukmron bo'lsang. F.Musajonov, Himmat."
297,Tanhogina,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ayiruv-chegaralov,badiiy,sifat,"U dargohda rang bor, olov bor, Tanhogina sen yo'qsan, gulim. R.Parfi, Ko'zlar."
298,Tarafga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,yo'nalish,so'zlashuv,ot,"Aytmadi, so'rasam gapni boshqa tarafga chalg'itdi. A.Qodiriy, O'tkan kunlar."
299,Tarafda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,yo'nalish,so'zlashuv,ot,"Do'stim, men har doim sen tarafda turaman, ishon. So'zlashuvdan"
300,Tarafdan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,yo'nalish,so'zlashuv,ot,"Kunduzi qum tarafdan iliq, nafasni qaytaradigan shamol esadi. S.Ahmad, Ufq."
301,Tarafidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,yo'nalish,rasmiy,ot,"O'z yonlaridan sarf qilish uchun aqchalari yo'q, hukumat tarafidan beriladigan salmog'I yo'q edi. A.Qodiriy, Mehrobdan chayon. "
302,Tarzda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,holat,kitobiy,ot,"Hafiz Mirzamuhammedovich odatiga xilof tarzda ko'proq gapirib qo'yganini payqadi, shekilli, birdan to'xtab qoldi. S.Karomatov, Oltin qum."
303,Tarzida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,holat,kitobiy,ot,"O'lpon to'lashdan bosh tortganlari uchun, o'n olti ming Xilari jarima tarzida tortib olib kelindi. P.Qodirov, Yulduzli tunlar. "
304,Tariqa,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,holat,kitobiy,ot,Shu tariqa maktabda o'qish-o'qitish ishlari mustahkam izga tushib ketdi. M.Ismoiliy. Farg'ona tong otguncha.
305,Tariqasida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,holat,badiiy,ot,"Ba'zan u betimning qalini - jonimning huzuri tariqasida ish qilardi. Mirmuhsin, Memor."
306,Taxlit ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'xshatish-qiyoslash,kitobiy,ot,"Bu taxlit chistoniy baytlarqadimda ham oliy hazratning istaklari ila bitilur edi. S.Siyoyev, Avaz"
307,Taxlitda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'xshatish-qiyoslash,kitobiy,ot,"Nonni ishtahasiz tishlar, miskarlar tomonidan samovar taxlitda yasalgan qumg'ondan choy quyar edi. Oybek, Tanlangan asarlar."
308,Tashqari ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,ayiruv-chegaralov,kitobiy,ot,"Axir fransuzga maoshdan tashqari yana ijara uy, kelib-ketish xarajatlarini ham ko'tarish shart bo'ladi. U.Hamdam, Muvozanat"
309,Tag`in ,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ta'kid ,so'zlashuv,ravish,"Men seni shashtingdan qaytarib qo'ygan bo'lmay tag'in. A.Muxtor, Opa-singillar."
310,Taalluqli,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,tegishlilik,kitobiy,,"Mahkamov boshliqning og'ziga ko'z tikib, ishga taalluqli biror muhim gap kutardi. ""Mushtum"""
311,Taqir,yuklama,part,Yukl,sof yukl,so'z shaklda,inkor ,badiiy,,"Mumkinmi, aytgin axir? Bu ish yaramas taqir. Q.Muhammadiy"
312,Tengi,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'xshatish,so'zlashuv,sifat,"Bu-qotmadan kelgan, qoracha,leytenant Sultonov tengi kishi edi. O'.Umarbekov. Yoz yomg'iri"
313,Tegra,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,badiiy,ot,"Barcha parilar, ey jon, girdingda zoru hayron, Go'yo erur namoyon oy tegrasida lola. Z.M.Bobur."
314,Tegishli,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,tegishlilik,kitobiy,,"Boshingdan o'tgani bu do'xtir bolamizga tegishli emas. T.Malik, Xazonrezgi."
315,Tepasiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Adolat uxlayotgan juvonning tepasiga bordi. I.Rahim, Chin muhabbat."
316,Tepasida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"O'tgan kuni shu ikki yigitni qozon tepasida et olayotganlarida ko'rgan edilar. Mirmuhsin, Me'mor."
317,Tim I,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv,badiiy,ot,"U qayg'uning tim qorongi burchaklarida halokatli bir qarorga kelmoqdalar. Shekspir, Hamlet. "
318,Tim II,yuklama,part,Yukl,vaz.yukl,so'z shaklda,inkor ,so'zlashuv,ot,"Xon Dalli bu so'zlarni eshitib, yuragida tim toqati qolmadi, eri mard Hasanga qarab…bir so'z dedi. ""Ravshan"" dostonidan."
319,To,yuklama,part,Yukl,sof yukl,so'z shaklda,o'rin-payt,so'zlashuv,,"Rahim Saidov to bir qarorga kelguncha, said aka masalani hal qildi. O'.Umarbekov,Yoz yomg'iri"
320,Toki,yuklama,conj,Yukl,sof yukl,so'z shaklda,kuchaytiruv-ta'kid,badiiy,,"Toki bormen, suymagan odamingizga uzattirmasmen.P.Qodirov, Yulduzli tunlar."
321,Toinki I,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,biriktiruv,badiiy,,"Qattiqroq gapiring, toinki hamma eshirsin. O'TIL. 4-tom 134-s. Toshkent -2020"
322,Tobora,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv-ta'kid,badiiy,,"U o'z hayotidan qoniqmas, umrining kun bilan tunning o'zgarishiday bir xil ekanligi uni tobora hafsalasiz qilib qo'ygan,tez-tez qishloq xotiralariga berilib ketardi. N.Eshonqul, Yalpiz hidi."
323,Tomon,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,yo'nalish,so'zlashuv,ot,Kechga tomon Sobirning xonasiga Odil buva kirib keldi. R.Fayziy. Cho'lga bahor keldi.
324,Tomonga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,yo'nalish,so'zlashuv,ot,"Oshiqbola bilan Oytumorning qarindosh-urug'lari olislik qilib bu marosimga ularni ayta olishmagani sababli, Meshpolvonning dadasi kuyov tomonga, onasi kelin tomonga mutasaddi bo'ldi…A.Obidjon, Meshpolvonning janglari."
325,Tomonda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,yo'nalish,so'zlashuv,ot,"Men tomonda bo'lsa yorim, yovlar menga qo'rqinchmas. Qo'shiqdan."
326,Tomondan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Bir tomondan ferma mudiri…uning o'rnida siz bo'lsangiz-u, ko'z oldingizda boshi ochiq bir juvon qilpillab yursa… E, sodda ekansiz, uka!A.Qahhor, Qo'shchinor chiroqlari."
327,Tomonidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,Ammo olamshumul bu kashfiyot ilmiy kengash tomonidan yetarli baholanmaganga o'xshaydi. X.To'xtaboyev. Shirin qovunlar mamlakati
328,Tortib,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,fe'l,"Oyog'imdan tortib basharamgacha qonga bo'yaldim. G'.G'ulom, Shumbola"
329,Tubiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,kitobiy,ot,Shu ishning tubiga yetish uchun qancha harakat qildi. Gazetadan
330,Tubida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,kitobiy,ot,"Bu so'zlarning tubida juda katta rashk borligini sezdim. M.Qoriyev, Oydin kechalar."
331,Tufayli,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,kitobiy,sifat,"O'n qadoq jo'xori tufayli shu ko'yga tushaman, deb Avaz sira o'ylamagan edi.S.Siyoyev, Avaz."
332,Tushkur,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv,so'zlashuv,,"Biroq qizi tushkurning husnimi, shirin so'zlarimi, harqalay, G'iyosiddinning til-jag'ini bog'lab, qulog'ini kar, ko'zini ko'r qilib qo'ygan edi.S.Ahmad, Hukm."
333,Tugul ,yuklama,part,Yukl,sof yukl,so'z shaklda,inkor ,so'zlashuv,,"Jon shunaqa shirin narsaki, oshna-og'ayni tugul, ota-onadan tondiradi! Shuhrat, Oltin zanglamas."
334,Tushmagur,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv,so'zlashuv,,Qiz tushmagur o'yinga usta ekan
335,To`g`rida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,so'zlashuv,sifat,"Bu to'g'rida maktab direktori, o'qituvchilar gapirsa, o'zimga olmas edim. A.Qahhor"
336,To`g`risida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,so'zlashuv,sifat,"Sho'rolar tomoniga o'tgan deyarli barcha bosmachilar umumiy afv to'g'risida dekret bo'lishiga qaramay, otib tashlandilar, eski maktablar, madrasalar tez orada bekitildi.""O'zbekiston tarixi"""
337,To`g`risidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,so'zlashuv,sifat,Pul to'g'risidan biroz qiynalib qolibdi.
338,To'g'ringizda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,so'zlashuv,sifat,"Sizni sirtdan tanirdim, siz to'g'ringizda ko'p eshitganman. K.Yashin, Hamza."
339, -u   I,yuklama,part,Yukl,sof yukl,qo'shimchasimon,kuchaytiruv-ta'kid,so'zlashuv,,Hammasiga aybdor o'zing-u! Yana to's-to'poloningga balo bormi? 
340, -u    II,bog'lovchi,conj,Bog'l,vaz.bog'l,qo'shimchasimon,biriktiruv,kitobiy,,"Ularning eng avvali, albatta, xalq-u Vataningdir! Undan so'ngra, balkim, ustoz-u shogirdlar. N.Jabborov,She'riyat aslida hikmatdir."
341,Ustiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-payt,kitobiy,ot,"Mazkur sifatlarga ega bo'lgan odamlar uchun barcha noz-ne'mat, rohat-farog'atlar ustiga Alloh taolodan rozilik ham… Islom.uz. Maqola "
342,Ustida I ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-payt,kitobiy,ot,"Choy ustida eri ruhiyasini kuzatadi, uning nechundir kayfi buzuq. Mirmuhsin, Topilgan husn."
343,Ustida II,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,so'zlashuv,ot,Gap futbol ustida ketganda uni to'xtatib bo'lmasdi.
344,Ustidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-payt,so'zlashuv,ot,"Domla ikki shisha pivoning ustidan yuz gramm aroqni bitta otib, o'rnidan turdi. A.Qahhor, To'yda aza."
345,Uchun I,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,maqsad-sabab,so'zlashuv,,"Ko'p yillardan buyon niyat va orzularda, xayol kengliklarida bo'y ko'rsatgan go'zal asarni yaratish uchun barcha hozirliklar ko'rib bo'lingan edi go'yo. I.Sulton, Alisher Navoiy. "
346,Uchun II,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,atalganlik,so'zlashuv,,"Yorim uchun keltiray, quchoq-quchoq gullarni… Xalq qo'shiqlari"
347,Va,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,biriktiruv,kitobiy,,"Uy kichkina, lekin yorug' va toza edi. Oybek, Tanlangan asarlar."
348,Va lekin,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,zidlov ,badiiy,,"Bolari tilida - og'zida asal, Ming bir dardga davo, xushta'm va go'zal, Va lekin dumida nish - zahari bor, Men uni unutib, ko'p bo'ldim o'sal. Azim Suyun."
349,Vaqtida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,betaraf,ot,"…qizlik vaqtida Nuri ularning kulbasiga juda oz chiqar edi. Oybek, Tanlangan asarlar."
350,Vajidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,kitobiy,ot,"Bilmagan odami uni tirikchilik vajidan qiynalib qolgan gumon qiladi. A.Qahhor, Asarlar."
351,Vositasida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,vosita,kitobiy,ot,"…ularning [davlatmandlarning] ziyofatlari vositasida ba'zi madrasalarning mudarrislari, muharrirlari bilan ham tanishdi. A.Qodiriy, Mehrobdan chayon."
352,Vositamda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,vosita,kitobiy,ot,"…faqat u mening vositamda to'yni boshlash uchun sizdan izn olgani kelgan ekan. A.Qodiriy, Mehrobdan chayon."
353,Vaholanki,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,zidlik,kitobiy,,"Boyvachchadan gumonim yo'q deyapsiz, vaholanki, sizni yo'ldan urgan o'sha. S.Yunosov.Kutilmagan xazina. "
354,Xoh…xoh,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,ayiruv-chegaralov,so'zlashuv,,"Xoh yosh, xoh qari - hamma to'plandi."
355,Xolos,yuklama,part,Yukl,sof yukl,so'z shaklda,ayiruv-chegaralov,kitobiy,,"Shoirlar aldaydi bizni, jonginam, Bahor doim emas, uch oydir xolos. A.Oripov. "
356,Xos,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,tegishlilik,so'zlashuv,sifat,Klara ayollarga xos chiroyli harakat bilan sochini orqasiga tashlab yubordi. O'.Hoshimov. Qalbingga quloq sol.
357, -xon,yuklama,part,Yukl,sof yukl,qo'shimchasimon,erkalash-kesatiq,so'zlashuv,,"Barnoxon, bolaginaga rahm qilsangiz bo'lardi, harqalay, siz ham onasiz, axir."
